timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1488729392169,16,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-15,,true,,2664,451,62,78,16,1000,1
1488729393173,16,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-16,text,true,,2664,451,62,78,16,0,1
1488729392173,16,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-16,,true,,2664,451,62,78,16,1000,1
1488729393216,19,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-40,text,true,,3348,422,62,78,18,0,1
1488729392216,19,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-40,,true,,3348,422,62,78,18,1000,1
1488729393340,17,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-17,text,true,,2664,451,62,78,17,0,1
1488729392340,17,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-17,,true,,2664,451,62,78,17,1001,1
1488729393379,19,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-42,text,true,,3408,422,62,78,19,0,1
1488729392379,19,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-42,,true,,3408,422,62,78,19,1001,1
1488729393399,19,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-41,text,true,,3396,422,62,78,19,0,1
1488729392399,19,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-41,,true,,3396,422,62,78,19,1001,1
1488729393393,57,3 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-5,text,true,,2649,903,16,78,56,0,1
1488729389394,57,Add or edit address book,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-5,,true,,2649,903,16,78,56,4000,1
1488729393458,18,2 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-16,text,true,,3383,479,16,78,18,0,0
1488729392458,18,Address book page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-16,,true,,3383,479,16,78,18,1000,0
1488729393585,17,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-18,text,true,,2663,451,62,78,17,0,1
1488729392585,17,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-18,,true,,2663,451,62,78,17,1000,1
1488729393611,16,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-43,text,true,,3398,422,62,78,16,0,0
1488729392610,16,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-43,,true,,3398,422,62,78,16,1002,0
1488729393649,18,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-44,text,true,,3399,422,62,78,18,0,1
1488729392649,18,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-44,,true,,3399,422,62,78,18,1000,1
1488729393653,36,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-19,text,true,,2654,451,62,78,36,0,1
1488729392653,36,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-19,,true,,2654,451,62,78,36,1000,1
1488729393818,19,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-45,text,true,,3348,422,62,78,19,0,1
1488729392817,19,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-45,,true,,3348,422,62,78,19,1001,1
1488729393881,39,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-20,text,true,,2654,451,62,78,39,0,0
1488729392880,39,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-20,,true,,2654,451,62,78,39,1001,0
1488729393982,17,5 /addressbookv4.1.4/edit.php,200,OK,Thread Group 2 - delete address book entry 2-46,text,true,,3348,422,62,78,17,0,0
1488729392981,17,Add or edit address book 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-46,,true,,3348,422,62,78,17,1002,0
1488729393987,15,6 /addressbookv4.1.4/delete.php,200,OK,Thread Group 2 - delete address book entry 2-21,text,true,,2664,451,62,78,15,0,0
1488729392986,15,Delete a random address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2 - delete address book entry 2-21,,true,,2664,451,62,78,15,1001,0
1488729394012,53,3 /addressbookv4.1.4/edit.php,200,OK,Thread Group - create address book entry 1-6,text,true,,2649,904,16,78,53,0,0
1488729390012,53,Add or edit address book,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - create address book entry 1-6,,true,,2649,904,16,78,53,4001,0
